"date","action","chamber","chamber_id","importance","_dlt_root_id","_dlt_parent_id","_dlt_list_idx","_dlt_id"
"2024-11-12","Received by the Secretary of the Senate","S",92,0,"jQe9/RATrxchCg","jQe9/RATrxchCg",0,"cRgm++q05DyhAQ"
"2024-11-12","Filed","S",92,1,"jQe9/RATrxchCg","jQe9/RATrxchCg",1,"KGU486FG5tWlHg"
"2025-02-03","Read first time","S",92,0,"jQe9/RATrxchCg","jQe9/RATrxchCg",2,"PTTEbuORtinYiw"
"2025-02-03","Referred to State Affairs","S",92,1,"jQe9/RATrxchCg","jQe9/RATrxchCg",3,"FAn1CuUnOiBxhg"
"2024-11-12","Received by the Secretary of the Senate","S",92,0,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",0,"jbgwDamXVvDhOQ"
"2024-11-12","Filed","S",92,1,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",1,"6Yfb5oM8iq5vrg"
"2025-02-03","Read first time","S",92,0,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",2,"mxWNq6MNNvAG5g"
"2025-02-03","Referred to State Affairs","S",92,1,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",3,"aVd3yrutCchcZw"
"2024-11-12","Filed","H",91,1,"NjfIZnJ7DQEzxg","NjfIZnJ7DQEzxg",0,"B/tf6yY50gVmag"
"2024-11-12","Received by the Secretary of the Senate","S",92,0,"Q6IJ4u39z7FXUA","Q6IJ4u39z7FXUA",0,"DfSCNYaDJHEIbQ"
"2024-11-12","Filed","S",92,1,"Q6IJ4u39z7FXUA","Q6IJ4u39z7FXUA",1,"AiADE0S1W+YiwQ"
"2025-02-03","Read first time","S",92,0,"Q6IJ4u39z7FXUA","Q6IJ4u39z7FXUA",2,"PXsl3qP+iFRQ0g"
"2025-02-03","Referred to Finance","S",92,1,"Q6IJ4u39z7FXUA","Q6IJ4u39z7FXUA",3,"agZazBzLMQ7Mxg"
"2024-11-12","Received by the Secretary of the Senate","S",92,0,"6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",0,"66xsxa3uIx3New"
"2024-11-12","Filed","S",92,1,"6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",1,"ETSkiCwyjKxewA"
"2025-02-03","Read first time","S",92,0,"6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",2,"t+YqgGiJ6qTdVA"
"2025-02-03","Referred to State Affairs","S",92,1,"6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",3,"QWzG9UigtIM6+A"
"2024-11-13","Received by the Secretary of the Senate","S",92,0,"eKMqzeaCDurxpw","eKMqzeaCDurxpw",0,"L4L0LEnmREHgbA"
"2024-11-13","Filed","S",92,1,"eKMqzeaCDurxpw","eKMqzeaCDurxpw",1,"wLJu4kkAhyBTdQ"
"2025-02-03","Read first time","S",92,0,"eKMqzeaCDurxpw","eKMqzeaCDurxpw",2,"jXXHnhnLflHrFw"
"2025-02-03","Referred to Health & Human Services","S",92,1,"eKMqzeaCDurxpw","eKMqzeaCDurxpw",3,"OLM4SM6IJGO1Vw"
"2024-11-13","Received by the Secretary of the Senate","S",92,0,"tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",0,"rIrww0zeJOXszQ"
"2024-11-13","Filed","S",92,1,"tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",1,"CjtRTcUe9+w0Nw"
"2025-02-03","Read first time","S",92,0,"tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",2,"XLkPFVl6JHIJcw"
"2025-02-03","Referred to Health & Human Services","S",92,1,"tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",3,"/TBe41hFZkZGRQ"
"2024-11-12","Filed","H",91,1,"HfB5b/sQOZjgjQ","HfB5b/sQOZjgjQ",0,"NvJserW37TYEAQ"
"2024-11-12","Filed","H",91,1,"on/Jr1lXGN3Omg","on/Jr1lXGN3Omg",0,"WfGLcVx+6KETAg"
"2024-11-22","Received by the Secretary of the Senate","S",92,0,"6/SXGcVrz2PBSw","6/SXGcVrz2PBSw",0,"T/pyr0eIl/bZeA"
"2024-11-22","Filed","S",92,1,"6/SXGcVrz2PBSw","6/SXGcVrz2PBSw",1,"ZzQ2owmqlgffOQ"
"2025-02-03","Read first time","S",92,0,"6/SXGcVrz2PBSw","6/SXGcVrz2PBSw",2,"5KvXE6rpzwWhEQ"
"2025-02-03","Referred to Health & Human Services","S",92,1,"6/SXGcVrz2PBSw","6/SXGcVrz2PBSw",3,"3f+0EiZIPqo4kA"
"2024-11-12","Filed","H",91,1,"auCokhHcc0EApQ","auCokhHcc0EApQ",0,"kKo8O5PnmatKdQ"
"2024-11-12","Filed","H",91,1,"wWSuygJnEPwFJg","wWSuygJnEPwFJg",0,"fxeiAJ3djvF/3w"
"2024-11-12","Filed","H",91,1,"2e1vT1mBLsB94w","2e1vT1mBLsB94w",0,"iURmr7nGHo5+Xw"
"2024-11-12","Filed","H",91,1,"xA6KyuPelnzLkg","xA6KyuPelnzLkg",0,"zUD3qUdm3hFO8A"
"2024-11-12","Filed","H",91,1,"xeJdVbHeI8I2uA","xeJdVbHeI8I2uA",0,"/FTRnLzBeXmqhQ"
"2024-11-12","Filed","H",91,1,"HgPEGkRH0pXchA","HgPEGkRH0pXchA",0,"P0YuDA3oCmddxA"
"2024-11-12","Filed","H",91,1,"OBvBWf5CJCioZg","OBvBWf5CJCioZg",0,"Akp/7jDGMqdTZA"
"2024-11-12","Filed","H",91,1,"1ifIXmYV+iRywg","1ifIXmYV+iRywg",0,"nTm1p54Sro/z5Q"
"2024-11-12","Filed","H",91,1,"KgvH6c3Ig1Uxlw","KgvH6c3Ig1Uxlw",0,"BLvCiDcwQ6ZZww"
"2024-11-12","Filed","H",91,1,"vw9/umqCQfoLew","vw9/umqCQfoLew",0,"SYPTK+5JsBSbSw"
"2024-11-12","Filed","H",91,1,"Koe9VEwfbFESkQ","Koe9VEwfbFESkQ",0,"Z+stntr60oN3ng"
"2024-11-13","Filed","H",91,1,"BPVgCW3gJU3ZeA","BPVgCW3gJU3ZeA",0,"hUw/irvN9OQB0Q"
"2024-11-14","Filed","H",91,1,"lt7FTxnra3HoBA","lt7FTxnra3HoBA",0,"CNW4LJF7g0p2Sw"
