"type_id","type","sast_bill_number","sast_bill_id","_dlt_root_id","_dlt_parent_id","_dlt_list_idx","_dlt_id"
1,"Same As","HB257",1891302,"jQe9/RATrxchCg","jQe9/RATrxchCg",0,"W07io28Yz/UJJA"
1,"Same As","HB395",1890538,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",0,"HMpkp/AZt9Rumg"
2,"Similar To","HB965",1891486,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",1,"Sj+Ko1CzHbTf5Q"
1,"Same As","SB256",1890418,"NjfIZnJ7DQEzxg","NjfIZnJ7DQEzxg",0,"fHNuY3NeP8uInw"
1,"Same As","HB1937",1927675,"Q6IJ4u39z7FXUA","Q6IJ4u39z7FXUA",0,"3aX1BeeaJa1HlQ"
1,"Same As","HB1219",1891474,"eKMqzeaCDurxpw","eKMqzeaCDurxpw",0,"icxP5Z4adpPQxg"
1,"Same As","HB1161",1890690,"tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",0,"sLpv6z4NOlMJmw"
1,"Same As","SB257",1891167,"HfB5b/sQOZjgjQ","HfB5b/sQOZjgjQ",0,"/17qQjJdXMEieg"
1,"Same As","HB2462",1956891,"on/Jr1lXGN3Omg","on/Jr1lXGN3Omg",0,"lm/fPFtO7WHj0A"
2,"Similar To","SB257",1891167,"xeJdVbHeI8I2uA","xeJdVbHeI8I2uA",0,"9ctE2gVGw0pvww"
1,"Same As","SB360",1891940,"1ifIXmYV+iRywg","1ifIXmYV+iRywg",0,"rRZ2s00IqNR57w"
1,"Same As","SB350",1891953,"KgvH6c3Ig1Uxlw","KgvH6c3Ig1Uxlw",0,"Pk5dVerlNRz99w"
2,"Similar To","SB122",1890794,"BPVgCW3gJU3ZeA","BPVgCW3gJU3ZeA",0,"ebr1TRk2pMlw/Q"
