"people_id","person_hash","party_id","state_id","party","role_id","role","name","first_name","middle_name","last_name","suffix","nickname","district","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","sponsor_type_id","sponsor_order","committee_sponsor","committee_id","state_federal","_dlt_root_id","_dlt_parent_id","_dlt_list_idx","_dlt_id"
5850,"mcnms1e8","1",43,"D",2,"Sen","Carol Alvarado","Carol","","Alvarado","","","SD-006",6487142,49524,"",269830,"Carol_Alvarado","",1,1,0,0,0,"jQe9/RATrxchCg","jQe9/RATrxchCg",0,"8etOI5u0qemWtA"
16834,"rpru6dum","1",43,"D",2,"Sen","Cesar Blanco","Cesar","","Blanco","","","SD-029",22205848,147274,"",482869,"Cesar_Blanco","",1,2,0,0,0,"jQe9/RATrxchCg","jQe9/RATrxchCg",1,"rltYBiPshFROTg"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,3,0,0,0,"jQe9/RATrxchCg","jQe9/RATrxchCg",2,"JvLCo6Ul/8qO0w"
21679,"sfpv8b5j","1",43,"D",2,"Sen","Sarah Eckhardt","Sarah","","Eckhardt","","","SD-014",16589893,95239,"",747743,"Sarah_Eckhardt","",1,4,0,0,0,"jQe9/RATrxchCg","jQe9/RATrxchCg",3,"gSvjAm1CK9vdlA"
5904,"lnthys87","1",43,"D",2,"Sen","Roland Gutierrez","Roland","","Gutierrez","","","SD-019",6497204,106951,"",265125,"Roland_Gutierrez","",1,5,0,0,0,"jQe9/RATrxchCg","jQe9/RATrxchCg",4,"NgLiK4YmfyLqZQ"
20805,"nob7rezs","1",43,"D",2,"Sen","Nathan Johnson","Nathan","","Johnson","","","SD-016",44105411,177585,"",646013,"Nathan_Johnson_(Texas)","",1,6,0,0,0,"jQe9/RATrxchCg","jQe9/RATrxchCg",5,"jyd51jID+7j4gw"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,7,0,0,0,"jQe9/RATrxchCg","jQe9/RATrxchCg",6,"aQNpVmUjeYrw1Q"
11599,"z0ysoqei","1",43,"D",2,"Sen","Borris Miles","Borris","L.","Miles","","","SD-013",1177031,59415,"",248658,"Borris_Miles","",1,8,0,0,0,"jQe9/RATrxchCg","jQe9/RATrxchCg",7,"2DYNA/yK0R7YCw"
5850,"mcnms1e8","1",43,"D",2,"Sen","Carol Alvarado","Carol","","Alvarado","","","SD-006",6487142,49524,"",269830,"Carol_Alvarado","",1,1,0,0,0,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",0,"BBLC53Lu8pLA/g"
16834,"rpru6dum","1",43,"D",2,"Sen","Cesar Blanco","Cesar","","Blanco","","","SD-029",22205848,147274,"",482869,"Cesar_Blanco","",1,2,0,0,0,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",1,"nC2RfQIT2d8FQQ"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,3,0,0,0,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",2,"lkgOT4UY3QQcgg"
21679,"sfpv8b5j","1",43,"D",2,"Sen","Sarah Eckhardt","Sarah","","Eckhardt","","","SD-014",16589893,95239,"",747743,"Sarah_Eckhardt","",1,4,0,0,0,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",3,"dbad0dJE+ZrVoA"
5904,"lnthys87","1",43,"D",2,"Sen","Roland Gutierrez","Roland","","Gutierrez","","","SD-019",6497204,106951,"",265125,"Roland_Gutierrez","",1,5,0,0,0,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",4,"bxlysGADBeu7dg"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,6,0,0,0,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",5,"qbgnei7e0FTYcA"
11599,"z0ysoqei","1",43,"D",2,"Sen","Borris Miles","Borris","L.","Miles","","","SD-013",1177031,59415,"",248658,"Borris_Miles","",1,7,0,0,0,"YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",6,"kbK9D8nBF2oBNg"
5920,"a90snuc7","1",43,"D",1,"Rep","Donna Howard","Donna","","Howard","","","HD-048",6386851,59196,"",242983,"Donna_Howard","",1,1,0,0,0,"NjfIZnJ7DQEzxg","NjfIZnJ7DQEzxg",0,"JXTUiR0+bQ9ILw"
11013,"lzwehz7h","2",43,"R",2,"Sen","Charles Perry","Charles","","Perry","","","SD-028",13006978,116957,"",292939,"Charles_Perry","",1,1,0,0,0,"Q6IJ4u39z7FXUA","Q6IJ4u39z7FXUA",0,"mWLQGd9WSn7WZg"
21679,"sfpv8b5j","1",43,"D",2,"Sen","Sarah Eckhardt","Sarah","","Eckhardt","","","SD-014",16589893,95239,"",747743,"Sarah_Eckhardt","",1,1,0,0,0,"6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",0,"LFtzBgdh+IlYuA"
5850,"mcnms1e8","1",43,"D",2,"Sen","Carol Alvarado","Carol","","Alvarado","","","SD-006",6487142,49524,"",269830,"Carol_Alvarado","",1,2,0,0,0,"6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",1,"thYP1imazGKf2A"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,3,0,0,0,"6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",2,"OhIZw/+dwkTW9g"
5904,"lnthys87","1",43,"D",2,"Sen","Roland Gutierrez","Roland","","Gutierrez","","","SD-019",6497204,106951,"",265125,"Roland_Gutierrez","",1,4,0,0,0,"6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",3,"+P298nFkV8rjaA"
20805,"nob7rezs","1",43,"D",2,"Sen","Nathan Johnson","Nathan","","Johnson","","","SD-016",44105411,177585,"",646013,"Nathan_Johnson_(Texas)","",1,5,0,0,0,"6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",4,"468cjM7lZUajMA"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,6,0,0,0,"6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",5,"advoI3R+wKu/FQ"
11599,"z0ysoqei","1",43,"D",2,"Sen","Borris Miles","Borris","L.","Miles","","","SD-013",1177031,59415,"",248658,"Borris_Miles","",1,7,0,0,0,"6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",6,"8tFTBsKZAkvc/w"
21679,"sfpv8b5j","1",43,"D",2,"Sen","Sarah Eckhardt","Sarah","","Eckhardt","","","SD-014",16589893,95239,"",747743,"Sarah_Eckhardt","",1,1,0,0,0,"eKMqzeaCDurxpw","eKMqzeaCDurxpw",0,"fLdglBPOOlN3SQ"
5850,"mcnms1e8","1",43,"D",2,"Sen","Carol Alvarado","Carol","","Alvarado","","","SD-006",6487142,49524,"",269830,"Carol_Alvarado","",1,2,0,0,0,"eKMqzeaCDurxpw","eKMqzeaCDurxpw",1,"ucTbqcOZw1g+Ug"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,3,0,0,0,"eKMqzeaCDurxpw","eKMqzeaCDurxpw",2,"askWJAS5C+ESLQ"
5904,"lnthys87","1",43,"D",2,"Sen","Roland Gutierrez","Roland","","Gutierrez","","","SD-019",6497204,106951,"",265125,"Roland_Gutierrez","",1,4,0,0,0,"eKMqzeaCDurxpw","eKMqzeaCDurxpw",3,"dYwN/RLps7iIbA"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,5,0,0,0,"eKMqzeaCDurxpw","eKMqzeaCDurxpw",4,"gRXkUP+xZLoVmQ"
21679,"sfpv8b5j","1",43,"D",2,"Sen","Sarah Eckhardt","Sarah","","Eckhardt","","","SD-014",16589893,95239,"",747743,"Sarah_Eckhardt","",1,1,0,0,0,"tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",0,"PSc/J3FShuNJnQ"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,2,0,0,0,"tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",1,"pWD5jkflyyusxQ"
5904,"lnthys87","1",43,"D",2,"Sen","Roland Gutierrez","Roland","","Gutierrez","","","SD-019",6497204,106951,"",265125,"Roland_Gutierrez","",1,3,0,0,0,"tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",2,"0BdIKcYPjoMPog"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,4,0,0,0,"tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",3,"+antAgWLfuwr4Q"
