"subject_id","subject_name","_dlt_root_id","_dlt_parent_id","_dlt_list_idx","_dlt_id"
5379,"Abortion","jQe9/RATrxchCg","jQe9/RATrxchCg",0,"I1C4DzTy3sSmLw"
5389,"Health Care Providers","jQe9/RATrxchCg","jQe9/RATrxchCg",1,"ha1Y/ER7fyJbcw"
5379,"Abortion","YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",0,"pO0aIT5Ls+h7rw"
5326,"Crimes","YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",1,"fMwXL/e8mhrzRA"
5327,"Crimes--Against Persons","YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",2,"vK6WDyhVJXcKGQ"
5342,"Crimes--Against Persons--Sexual","YcQ7733K+OZQ3w","YcQ7733K+OZQ3w",3,"ol7Tve2pf2tHKQ"
5379,"Abortion","NjfIZnJ7DQEzxg","NjfIZnJ7DQEzxg",0,"FsIN72wRqiIQ3g"
5389,"Health Care Providers","NjfIZnJ7DQEzxg","NjfIZnJ7DQEzxg",1,"tNaL6bWytyD2PA"
5254,"Taxation","Q6IJ4u39z7FXUA","Q6IJ4u39z7FXUA",0,"m5hQVdnJXuyxIQ"
5690,"Taxation--General","Q6IJ4u39z7FXUA","Q6IJ4u39z7FXUA",1,"LButr0G6ZlavOg"
6023,"AUDITS & AUDITORS","Q6IJ4u39z7FXUA","Q6IJ4u39z7FXUA",2,"O6BlxScR+XrbxQ"
5270,"COMPTROLLER OF PUBLIC ACCOUNTS","Q6IJ4u39z7FXUA","Q6IJ4u39z7FXUA",3,"FjTFDMfmMLtJ0w"
5349,"Civil Remedies & Liabilities","Q6IJ4u39z7FXUA","Q6IJ4u39z7FXUA",4,"l15Mu4mHGWvS7w"
5379,"Abortion","6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",0,"QlI1o3yHm1di/Q"
5349,"Civil Remedies & Liabilities","6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",1,"cK1RWjNC0MBtXA"
5326,"Crimes","6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",2,"bunQodV1OCI12g"
5327,"Crimes--Against Persons","6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",3,"4h4nSkP4096IEQ"
5328,"Crimes--Against Persons--General","6BAGWaZQCxz4UQ","6BAGWaZQCxz4UQ",4,"cf9AwK+ajYRH6g"
5379,"Abortion","eKMqzeaCDurxpw","eKMqzeaCDurxpw",0,"dTv36EaGPsgvAA"
5389,"Health Care Providers","eKMqzeaCDurxpw","eKMqzeaCDurxpw",1,"LbiYEBY8NEF4HQ"
5273,"Health","eKMqzeaCDurxpw","eKMqzeaCDurxpw",2,"L8UZeBLdt/bCMw"
5554,"Health--Other Diseases & Medical Conditions","eKMqzeaCDurxpw","eKMqzeaCDurxpw",3,"ZFCBR7l051qpxw"
5334,"Occupational Regulation","eKMqzeaCDurxpw","eKMqzeaCDurxpw",4,"op9oFf9e2eiV+Q"
5335,"Occupational Regulation--Health Occupations","eKMqzeaCDurxpw","eKMqzeaCDurxpw",5,"I37IiCoYa/XGlg"
5915,"Women","eKMqzeaCDurxpw","eKMqzeaCDurxpw",6,"QZFSXRXH7kScgg"
6018,"PREGNANCY & CHILDBIRTH","eKMqzeaCDurxpw","eKMqzeaCDurxpw",7,"68F2V9VUEOPbxg"
5389,"Health Care Providers","tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",0,"axzB2GpBd9K6UA"
5273,"Health","tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",1,"4femqR+fVqnUSQ"
5274,"Health--General","tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",2,"AbGvRw8jQc5HbA"
5734,"Health--Privacy/Use of Information","tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",3,"IeiqhaiNoeJ8MA"
6103,"ADVANCE DIRECTIVES","tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",4,"SOKeXqa/tS3wSg"
6018,"PREGNANCY & CHILDBIRTH","tz5jj5IOYcdlbQ","tz5jj5IOYcdlbQ",5,"zXLoPaySj9JH1w"
5379,"Abortion","HfB5b/sQOZjgjQ","HfB5b/sQOZjgjQ",0,"bAD2cIxB5Hggcg"
