"bill_id","change_hash","session_id","session__session_id","session__state_id","session__year_start","session__year_end","session__prefile","session__sine_die","session__prior","session__special","session__session_tag","session__session_title","session__session_name","url","state_link","completed","status","status_date","state","state_id","bill_number","bill_type","bill_type_id","body","body_id","current_body","current_body_id","title","description","pending_committee_id","committee__committee_id","committee__chamber","committee__chamber_id","committee__name","_dlt_load_id","_dlt_id"
1890418,"44652bf379f28d60a99d062429cdb8ec",2160,2160,43,2025,2026,0,0,0,0,"Regular Session","2025 Regular Session","89th Legislature Regular Session","https://legiscan.com/TX/bill/SB256/2025","https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB256",0,1,"2024-11-12","TX",43,"SB256","B","1","S",92,"S",92,"Relating to exceptions to and the repeal of certain laws prohibiting abortion.","Relating to exceptions to and the repeal of certain laws prohibiting abortion.",1919,1919,"S",92,"State Affairs","1739840620.744766","W3HjfGk9sD7qAw"
1891167,"4bfcc3f31693cf0a9c12f6af7aa1e387",2160,2160,43,2025,2026,0,0,0,0,"Regular Session","2025 Regular Session","89th Legislature Regular Session","https://legiscan.com/TX/bill/SB257/2025","https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB257",0,1,"2024-11-12","TX",43,"SB257","B","1","S",92,"S",92,"Relating to exceptions to and the repeal of certain laws prohibiting abortion.","Relating to exceptions to and the repeal of certain laws prohibiting abortion.",1919,1919,"S",92,"State Affairs","1739840620.744766","5rkdPpi5XmM2Lw"
1891302,"48aba1f1b34702b5b7b5c84dc51a4345",2160,2160,43,2025,2026,0,0,0,0,"Regular Session","2025 Regular Session","89th Legislature Regular Session","https://legiscan.com/TX/bill/HB257/2025","https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB257",0,1,"2024-11-12","TX",43,"HB257","B","1","H",91,"H",91,"Relating to exceptions to and the repeal of certain laws prohibiting abortion.","Relating to exceptions to and the repeal of certain laws prohibiting abortion.",0,"","","","","1739840620.744766","4IMxHZ4dSlYj1Q"
1890486,"fc35020f7e01ba6a5bfc1f79fc4170da",2160,2160,43,2025,2026,0,0,0,0,"Regular Session","2025 Regular Session","89th Legislature Regular Session","https://legiscan.com/TX/bill/SB266/2025","https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB266",0,1,"2024-11-12","TX",43,"SB266","B","1","S",92,"S",92,"Relating to certain tax and fee collection procedures and taxpayer suits.","Relating to certain tax and fee collection procedures and taxpayer suits.",1909,1909,"S",92,"Finance","1739840620.744766","9oKS3XfAf+okdw"
1890750,"d4603b436eed854b96fdf51ca6131abf",2160,2160,43,2025,2026,0,0,0,0,"Regular Session","2025 Regular Session","89th Legislature Regular Session","https://legiscan.com/TX/bill/SB308/2025","https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB308",0,1,"2024-11-12","TX",43,"SB308","B","1","S",92,"S",92,"Relating to the repeal of certain laws prohibiting abortion.","Relating to the repeal of certain laws prohibiting abortion.",1919,1919,"S",92,"State Affairs","1739840620.744766","KLWsYJ2q7cFfTA"
1891953,"bee3ae97ba4d59f151a997b06f1fab12",2160,2160,43,2025,2026,0,0,0,0,"Regular Session","2025 Regular Session","89th Legislature Regular Session","https://legiscan.com/TX/bill/SB350/2025","https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB350",0,1,"2024-11-13","TX",43,"SB350","B","1","S",92,"S",92,"Relating to prioritization of a pregnant individual's health when providing health care treatments; authorizing an administrative penalty.","Relating to prioritization of a pregnant individual's health when providing health care treatments; authorizing an administrative penalty.",1911,1911,"S",92,"Health & Human Services","1739840620.744766","3PWWvVCmOFR4og"
1891940,"46d53ce7a2bca72bf5b513237f6cb1f3",2160,2160,43,2025,2026,0,0,0,0,"Regular Session","2025 Regular Session","89th Legislature Regular Session","https://legiscan.com/TX/bill/SB360/2025","https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB360",0,1,"2024-11-13","TX",43,"SB360","B","1","S",92,"S",92,"Relating to an advance directive and do-not-resuscitate order of a pregnant woman and information provided for an advance directive.","Relating to an advance directive and do-not-resuscitate order of a pregnant woman and information provided for an advance directive.",1911,1911,"S",92,"Health & Human Services","1739840620.744766","kbyRuGe0+B1wTA"
1890538,"46b4ba1082ca5d65fef1874dd6a9ef75",2160,2160,43,2025,2026,0,0,0,0,"Regular Session","2025 Regular Session","89th Legislature Regular Session","https://legiscan.com/TX/bill/HB395/2025","https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB395",0,1,"2024-11-12","TX",43,"HB395","B","1","H",91,"H",91,"Relating to exceptions to and the repeal of certain laws prohibiting abortion.","Relating to exceptions to and the repeal of certain laws prohibiting abortion.",0,"","","","","1739840620.744766","k4s+sQI6CyryWw"
1890270,"242e0921905ee655806115f46c93675a",2160,2160,43,2025,2026,0,0,0,0,"Regular Session","2025 Regular Session","89th Legislature Regular Session","https://legiscan.com/TX/bill/HB427/2025","https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB427",0,1,"2024-11-12","TX",43,"HB427","B","1","H",91,"H",91,"Relating to the use of a high occupancy vehicle lane by an operator of a motor vehicle who is pregnant.","Relating to the use of a high occupancy vehicle lane by an operator of a motor vehicle who is pregnant.",0,"","","","","1739840620.744766","B2wCzyDd6AmY9w"
1892984,"9c13cc821f5d6378e55e3c8df6f135f3",2160,2160,43,2025,2026,0,0,0,0,"Regular Session","2025 Regular Session","89th Legislature Regular Session","https://legiscan.com/TX/bill/SB466/2025","https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB466",0,1,"2024-11-22","TX",43,"SB466","B","1","S",92,"S",92,"Relating to the definition of fetal death certificate.","Relating to the definition of fetal death certificate.",1911,1911,"S",92,"Health & Human Services","1739840620.744766","M3TsCiHT5hFQ1A"
