"type_id","type","sast_bill_number","sast_bill_id","_dlt_root_id","_dlt_parent_id","_dlt_list_idx","_dlt_id"
1,"Same As","HB257",1891302,"W3HjfGk9sD7qAw","W3HjfGk9sD7qAw",0,"PxXf4OcI1ewvAQ"
1,"Same As","HB395",1890538,"5rkdPpi5XmM2Lw","5rkdPpi5XmM2Lw",0,"xZ6geezbcvwbzw"
2,"Similar To","HB965",1891486,"5rkdPpi5XmM2Lw","5rkdPpi5XmM2Lw",1,"AcDZC/t9k9Z5EQ"
1,"Same As","SB256",1890418,"4IMxHZ4dSlYj1Q","4IMxHZ4dSlYj1Q",0,"prL7EaGGr24a2A"
1,"Same As","HB1937",1927675,"9oKS3XfAf+okdw","9oKS3XfAf+okdw",0,"Aj0Qx9VFsM1EgA"
1,"Same As","HB1219",1891474,"3PWWvVCmOFR4og","3PWWvVCmOFR4og",0,"nB743jK9unYU1Q"
1,"Same As","HB1161",1890690,"kbyRuGe0+B1wTA","kbyRuGe0+B1wTA",0,"wXCBmpno0YY8rQ"
1,"Same As","SB257",1891167,"k4s+sQI6CyryWw","k4s+sQI6CyryWw",0,"iL92184m1fLYCQ"
1,"Same As","HB2462",1956891,"B2wCzyDd6AmY9w","B2wCzyDd6AmY9w",0,"wE/ui6MgOkrPdA"
2,"Similar To","SB257",1891167,"gL/EMZiXnlQ4bQ","gL/EMZiXnlQ4bQ",0,"HSYyUixgzIatmw"
1,"Same As","SB360",1891940,"NjK4j2GzwdVgXQ","NjK4j2GzwdVgXQ",0,"pJDFoPuA+D1C4A"
1,"Same As","SB350",1891953,"RS2+s2QynZ7wyg","RS2+s2QynZ7wyg",0,"eXxvFielcH7Gmw"
2,"Similar To","SB122",1890794,"L0THNoH3vFPuVw","L0THNoH3vFPuVw",0,"KWlIHTBGLqFMCg"
