"people_id","person_hash","party_id","state_id","party","role_id","role","name","first_name","middle_name","last_name","suffix","nickname","district","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","sponsor_type_id","sponsor_order","committee_sponsor","committee_id","state_federal","_dlt_root_id","_dlt_parent_id","_dlt_list_idx","_dlt_id"
5850,"mcnms1e8","1",43,"D",2,"Sen","Carol Alvarado","Carol","","Alvarado","","","SD-006",6487142,49524,"",269830,"Carol_Alvarado","",1,1,0,0,0,"W3HjfGk9sD7qAw","W3HjfGk9sD7qAw",0,"oy02Aev7Z0vOZg"
16834,"rpru6dum","1",43,"D",2,"Sen","Cesar Blanco","Cesar","","Blanco","","","SD-029",22205848,147274,"",482869,"Cesar_Blanco","",1,2,0,0,0,"W3HjfGk9sD7qAw","W3HjfGk9sD7qAw",1,"MF+s+IvQC5UvTg"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,3,0,0,0,"W3HjfGk9sD7qAw","W3HjfGk9sD7qAw",2,"PAgEu6RfSB+h7g"
21679,"sfpv8b5j","1",43,"D",2,"Sen","Sarah Eckhardt","Sarah","","Eckhardt","","","SD-014",16589893,95239,"",747743,"Sarah_Eckhardt","",1,4,0,0,0,"W3HjfGk9sD7qAw","W3HjfGk9sD7qAw",3,"vpeuLl+BpmEY9w"
5904,"lnthys87","1",43,"D",2,"Sen","Roland Gutierrez","Roland","","Gutierrez","","","SD-019",6497204,106951,"",265125,"Roland_Gutierrez","",1,5,0,0,0,"W3HjfGk9sD7qAw","W3HjfGk9sD7qAw",4,"X6UUduFuJW+rtQ"
20805,"nob7rezs","1",43,"D",2,"Sen","Nathan Johnson","Nathan","","Johnson","","","SD-016",44105411,177585,"",646013,"Nathan_Johnson_(Texas)","",1,6,0,0,0,"W3HjfGk9sD7qAw","W3HjfGk9sD7qAw",5,"OL8/mZIbCvE7JA"
5949,"gj43nd30","1",43,"D",2,"Sen","Jose Menendez","Jose","","Menendez","","","SD-026",13007038,49908,"",206067,"Jose_Menendez","",1,7,0,0,0,"W3HjfGk9sD7qAw","W3HjfGk9sD7qAw",6,"Aaf+Hk6Bgs7JUg"
11599,"z0ysoqei","1",43,"D",2,"Sen","Borris Miles","Borris","L.","Miles","","","SD-013",1177031,59415,"",248658,"Borris_Miles","",1,8,0,0,0,"W3HjfGk9sD7qAw","W3HjfGk9sD7qAw",7,"eTS3vABLHimNtw"
5850,"mcnms1e8","1",43,"D",2,"Sen","Carol Alvarado","Carol","","Alvarado","","","SD-006",6487142,49524,"",269830,"Carol_Alvarado","",1,1,0,0,0,"5rkdPpi5XmM2Lw","5rkdPpi5XmM2Lw",0,"rrIAqDjis6jghA"
16834,"rpru6dum","1",43,"D",2,"Sen","Cesar Blanco","Cesar","","Blanco","","","SD-029",22205848,147274,"",482869,"Cesar_Blanco","",1,2,0,0,0,"5rkdPpi5XmM2Lw","5rkdPpi5XmM2Lw",1,"n4bgBvHGywkP0g"
25224,"dzsct00d","1",43,"D",2,"Sen","Molly Cook","Molly","","Cook","","","SD-015",59509782,201035,"",0,"Molly_Cook","",1,3,0,0,0,"5rkdPpi5XmM2Lw","5rkdPpi5XmM2Lw",2,"HVx2yzpsTaYBZQ"
21679,"sfpv8b5j","1",43,"D",2,"Sen","Sarah Eckhardt","Sarah","","Eckhardt","","","SD-014",16589893,95239,"",747743,"Sarah_Eckhardt","",1,4,0,0,0,"5rkdPpi5XmM2Lw","5rkdPpi5XmM2Lw",3,"rfs+nYbJGc8yAQ"
