"bill_id","number","state","status","title","description","_dlt_load_id","_dlt_id"
1890418,"SB256","TX",1,"Relating to exceptions to and the repeal of certain laws prohibiting abortion.","Relating to exceptions to and the repeal of certain laws prohibiting abortion.","1739840141.372451","PfCGjpsGdkcJ3w"
1891167,"SB257","TX",1,"Relating to exceptions to and the repeal of certain laws prohibiting abortion.","Relating to exceptions to and the repeal of certain laws prohibiting abortion.","1739840141.372451","5y/8ojFqg6zMCQ"
1891302,"HB257","TX",1,"Relating to exceptions to and the repeal of certain laws prohibiting abortion.","Relating to exceptions to and the repeal of certain laws prohibiting abortion.","1739840141.372451","whIElPMHlm3hHQ"
1890486,"SB266","TX",1,"Relating to certain tax and fee collection procedures and taxpayer suits.","Relating to certain tax and fee collection procedures and taxpayer suits.","1739840141.372451","d2W5OI47axioKQ"
1890750,"SB308","TX",1,"Relating to the repeal of certain laws prohibiting abortion.","Relating to the repeal of certain laws prohibiting abortion.","1739840141.372451","Ua49bKzk7kkPfA"
1891953,"SB350","TX",1,"Relating to prioritization of a pregnant individual's health when providing health care treatments; authorizing an administrative penalty.","Relating to prioritization of a pregnant individual's health when providing health care treatments; authorizing an administrative penalty.","1739840141.372451","atjURcJwCLsiBQ"
1891940,"SB360","TX",1,"Relating to an advance directive and do-not-resuscitate order of a pregnant woman and information provided for an advance directive.","Relating to an advance directive and do-not-resuscitate order of a pregnant woman and information provided for an advance directive.","1739840141.372451","+/oLW0yLAsol5A"
1890538,"HB395","TX",1,"Relating to exceptions to and the repeal of certain laws prohibiting abortion.","Relating to exceptions to and the repeal of certain laws prohibiting abortion.","1739840141.372451","5YEHtVe38abvOA"
1890270,"HB427","TX",1,"Relating to the use of a high occupancy vehicle lane by an operator of a motor vehicle who is pregnant.","Relating to the use of a high occupancy vehicle lane by an operator of a motor vehicle who is pregnant.","1739840141.372451","qQdHyZ5Avinj/g"
1892984,"SB466","TX",1,"Relating to the definition of fetal death certificate.","Relating to the definition of fetal death certificate.","1739840141.372451","vBebR1ecFFzFJA"
