bill_number,Topic,Position,Description
HB44,Human Rights,Support,"Relating to exceptions to otherwise prohibited abortions based on a physician's reasonable medical judgment."
HB257,Human Rights,Support,"Relating to exceptions to and the repeal of certain laws prohibiting abortion."
HB395,Human Rights,Support,"Relating to exceptions to and the repeal of certain laws prohibiting abortion."
HB965,Human Rights,Support,"Relating to exceptions to and the repeal of certain laws prohibiting abortion."
HB1161,Human Rights,Support,"Relating to an advance directive and do-not-resuscitate order of a pregnant woman and information provided for an advance directive."
HB1220,Human Rights,Support,"Relating to exceptions to laws prohibiting abortion."
HB1254,Human Rights,Support,"Related to expanding the exemptions of abortions and Texas women's access to reproductive healthcare including in vitro fertilization."
HB1493,Human Rights,Support,"Relating to liability for the provision of certain medical treatment to a pregnant woman by a physician or health care provider."
HB1578,Human Rights,Support,"Relating to exceptions to and the repeal of certain laws prohibiting abortion."
HB1986,Human Rights,Support,"Relating to the regulation of abortion, including abortion complication reporting and the repeal of certain laws prohibiting abortion."
HB1987,Human Rights,Support,"Relating to the regulation of abortion, including abortion complication reporting and the repeal of certain laws prohibiting abortion."
HB2158,Human Rights,Support,"Relating to an exception to certain laws prohibiting abortion."
HB2251,Human Rights,Support,"Relating to exceptions to and the repeal of certain laws prohibiting abortion."
HJR33,Human Rights,Support,"Proposing a constitutional amendment establishing an individual's right to personal reproductive autonomy."
HJR80,Human Rights,Support,"Proposing a constitutional amendment guaranteeing the rights to an abortion and to assisted reproductive technology treatments and procedures, including in vitro fertilization."
HJR130,Human Rights,Support,"Proposing a constitutional amendment establishing an individual's right to personal reproductive autonomy."
SB31,Human Rights,Support,"Relating to exceptions to otherwise prohibited abortions based on a physician's reasonable medical judgment."
SB256,Economic Justice,Support,"Exceptions to and repeal of certain laws prohibiting abortion. Changes language to 'physician's best medical judgement' rather than 'exercise of reasonable medical judgement.' Exceptions are: medically indicated, necessary to preserve the pregnant patient's life, physical or mental health, fertility, requested because of lethal fetal anomaly or diagnosis, or requested because of life-limiting diagnosis that indicates the existence of the fetus outside the womb is incompatible with life without extraordinary medical interventions. Removes previous language of 'impairment of a major bodily function' and changes 'unborn child' to fetus."
SB257,Human Rights,Support,"Relating to exceptions to and the repeal of certain laws prohibiting abortion."
SB308,Human Rights,Support,"Repealing laws prohibiting abortion. Title 71, Health--Public Chapter 6-1/2, Abortion; Chapter 170A, Health and Safety Code."
SB466,Human Rights,Oppose,"Fetal death certificates. Allows family members to request a death certificate for a fetus of any weight or gestational age. The current law has gestation and/or weight requirements."
HB427,Economic Justice,Oppose,"Allows a pregnant person to use the High Occupancy Vehicle lane even if there are no other passengers. Establishes fetal personhood by making the fetus of the driver count as a 'second person.'"
HB585,Human Rights,Support,"Establishes the right to assistive reproductive technology treatments and procedures."
HB653,Human Rights,Support,"Relates to the purchase and use of contraceptives and access to contraceptive information."
HB818,Economic Justice,Oppose,"Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act. This does not apply to a pregnant woman who possesses mifepristone or misoprostol for her own consumption."
HB911,Human Rights,Oppose,"Establishes a State Holiday of June 24th as 'Celebration of Life Day'"
HB991,Human Rights,Oppose,"Amends the Health and Safety Code relating to abortion to include abortion inducing drugs and their distribution. Includes civil liability for distribution of abortion-inducing drugs and duties of Internet service providers to block internet access to information or material intended to assist or facilitate getting 'elective' abortions or an abortion-inducing drug. Amends the Penal Code to make it a criminal offense to mail any drug, medicine, article, or thing designed, adapted, or intended for producing abortion. This is done through reference to the US Constitution with the Comstock Act."
HB1143,Human Rights,Oppose,"Establishes a memorial monument dedicated to 'unborn children' on the Capitol grounds."
HB1219,Economic Justice,Support,"Prioritizing the pregnant individual's health over the health of the fetus the individual is carrying, regardless of whether the treatment poses a risk of injury or death to the fetus."
HB1304,Economic Justice,Oppose,"Required labeling of certain (foods, medical, cosmetic) products containing or derived from aborted human fetal tissue."
HB1339,Economic Justice,Oppose,"Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act."
HB1636,Economic Justice,Oppose,"Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act."
HB1651,Human Rights,Oppose,"Relating to a restriction on the sale or distribution of an abortion-inducing drug through an Internet website. Allows for mailed/delivered abortion-inducing drugs if there is verification that the person has a physician in Texas prescribing the medication to that person following an in-person medical exam."
SB350,Economic Justice,Support,"Prioritizing the pregnant individual's health over the health of the fetus the individual is carrying, regardless of whether the treatment poses a risk of injury or death to the fetus."
SB360,Human Rights,Support,"Relating to an advance directive and do-not-resuscitate order of a pregnant woman and information provided for an advance directive. Removes the statement from previous advance directive laws that reads as follows: 'I understand that under Texas law this directive has no effect if I have been diagnosed as pregnant.' The person can dictate how their directive is affected, if at all, by a pregnancy."
SJR20,Human Rights,Support,"Proposing a constitutional amendment establishing an individual's right to personal reproductive autonomy."
SB266,Economic Justice,Oppose,"Developing a Texas.gov website that has pregnancy-related information and resources. This bill requires that the website include information on 'healing and support services for abortion survivors and the survivors' families, alternatives to abortion, abortion risks, including complications and failures,' and 'child development beginning at conception.' It also states that through a series of questions, the webpage will include information regarding 'risk related to abortion at all stages of gestation.'"
SB2880,Human Rights,Oppose,"Relating to abortion, including civil liability for the distribution of abortion-inducing drugs and duties of Internet service providers to block internet access to information or material intended to assist or facilitate getting 'elective' abortions or an abortion-inducing drug."
HB5510,Human Rights,Oppose,"Relating to abortion, including civil liability for the distribution of abortion-inducing drugs and duties of Internet service providers to block internet access to information or material intended to assist or facilitate getting 'elective' abortions or an abortion-inducing drug."
